"","SITE","sigma_bar","x_bar","CV","var"
"1","CL22",0.133469850854321,0.293235294117647,0.455162981850242,"omega"
"2","RW22",0.105952489096621,0.274705882352941,0.385694285790699,"omega"
"3","SB22",0.114426318445282,0.356470588235294,0.32099792303132,"omega"
"4","MR22",0.0934505426482169,0.162647058823529,0.574560298379634,"omega"
"5","PY22",0.136405624204616,0.227058823529412,0.60075015841411,"omega"
"6","KS22",0.119621009381371,0.249393939393939,0.47964681768958,"omega"
"7","OX23",0.122502533872829,0.31375,0.390446323100649,"omega"
"8","KS23",0.0936207462399655,0.2546875,0.3675906600833,"omega"
"9","PY23",0.145486969634168,0.3878125,0.375147705744833,"omega"
"10","UN23",0.160832518012813,0.285384615384615,0.563564079290181,"omega"
"11","SB23",0.0642597612152991,0.540625,0.118861986062981,"omega"
"12","LB23",0.126585143084141,0.41375,0.305945965158045,"omega"
"13","AL24",0.133745656525407,0.4040625,0.331002398206731,"omega"
"14","BE24",0.0923065896986593,0.2734375,0.337578385183668,"omega"
"15","KS24",0.091822972797298,0.3715625,0.247126587848069,"omega"
"16","LB24",0.123592750560388,0.3915625,0.315639905661006,"omega"
"17","RO24",0.11537894779112,0.31625,0.364834617521328,"omega"
"18","SB24",0.113092882180976,0.30625,0.36928288059094,"omega"
"19","CL22",1.13227403277392,3.94558823529412,0.286972173792869,"raudps"
"20","RW22",0.578632706320279,2.34058823529412,0.247216788324824,"raudps"
"21","SB22",1.43576532163983,6.26264705882353,0.229258540063656,"raudps"
"22","MR22",0.439371945935784,1.685,0.260754864056845,"raudps"
"23","PY22",0.618754976212905,1.64941176470588,0.375136754480006,"raudps"
"24","KS22",0.477090273026881,0.890909090909091,0.535509490132213,"raudps"
"25","OX23",1.51236667838238,8.66,0.174638184570713,"raudps"
"26","KS23",0.706316388777057,3.5534375,0.19876989218948,"raudps"
"27","PY23",0.616003077643827,3.8646875,0.159392726486637,"raudps"
"28","UN23",0.640733221768224,3.75807692307692,0.170494972530691,"raudps"
"29","SB23",1.342044460267,10.79125,0.124364133929526,"raudps"
"30","LB23",0.541996309950539,3.39375,0.159704253392424,"raudps"
"31","AL24",0.690013707177652,8.379375,0.0823466794573165,"raudps"
"32","BE24",0.28005681930504,1.7184375,0.162971780646686,"raudps"
"33","KS24",0.749892075568212,4.5759375,0.163877254785104,"raudps"
"34","LB24",0.579603312619932,5.920625,0.0978956297046228,"raudps"
"35","RO24",0.304655201279523,2.1278125,0.143177653707516,"raudps"
"36","SB24",0.504107916687158,5.3290625,0.0945959850700115,"raudps"
"37","CL22",6.27495019900557,102.441176470588,0.0612541793758798,"t50"
"38","RW22",5.06356651801405,121.794117647059,0.0415748035770291,"t50"
"39","SB22",4.88921381867329,102.205882352941,0.0478369121827027,"t50"
"40","MR22",9.11567815553479,131.558823529412,0.0692897512381361,"t50"
"41","PY22",12.5969367319742,121.411764705882,0.103753839362191,"t50"
"42","KS22",8.25994502233518,113.3125,0.0728952677095218,"t50"
"43","OX23",4.84179299030786,96.34375,0.050255392698622,"t50"
"44","KS23",4.88232577823725,91.5625,0.0533223293186321,"t50"
"45","PY23",5.50586808172264,102.65625,0.0536340269756847,"t50"
"46","UN23",7.900655731245,99.3076923076923,0.0795573388893765,"t50"
"47","SB23",2.40836333548553,87.375,0.0275635288753709,"t50"
"48","LB23",4.45164624900305,88.71875,0.0501770623346593,"t50"
"49","AL24",3.4532593299664,84.6875,0.0407764939331825,"t50"
"50","BE24",4.08190686123617,101.71875,0.0401293454868072,"t50"
"51","KS24",3.03490176643669,92.28125,0.0328875233748642,"t50"
"52","LB24",3.99104521846933,89.5483870967742,0.0445685885347799,"t50"
"53","RO24",4.72912077804462,99.40625,0.0475736764845734,"t50"
"54","SB24",5.21896959503676,97.15625,0.0537172811325752,"t50"
"55","CL22",2.31681830509505,8.44117647058824,0.274466280046104,"sev"
"56","RW22",1.35944409053632,5.65882352941177,0.240234402693528,"sev"
"57","SB22",3.62974413075342,11.3088235294118,0.32096567085986,"sev"
"58","MR22",1.09262231782614,3.68235294117647,0.296718520815405,"sev"
"59","PY22",1.3358283631364,3.12647058823529,0.427264010786809,"sev"
"60","KS22",0.678973780665175,1.67272727272727,0.405908238441137,"sev"
"61","OX23",4.17488225626197,22.75,0.183511307967559,"sev"
"62","KS23",2.05419798520448,9.1875,0.223586175260352,"sev"
"63","PY23",1.6974245196768,9.84375,0.172436776602087,"sev"
"64","UN23",2.13860266080642,11.5384615384615,0.185345563936556,"sev"
"65","SB23",2.65832027165025,26.9375,0.0986847432631184,"sev"
"66","LB23",1.39044357430761,7.375,0.188534721940015,"sev"
"67","AL24",1.84164781287483,23.125,0.0796388243405332,"sev"
"68","BE24",0.608265839139395,3.88125,0.156719056783097,"sev"
"69","KS24",2.17262801694169,9.421875,0.230594018381871,"sev"
"70","LB24",1.65264938810384,16.28125,0.101506296390255,"sev"
"71","RO24",0.698808509774553,4.3375,0.161108590149753,"sev"
"72","SB24",1.50813764844813,15.859375,0.0950943935967295,"sev"
