"","skim_type","skim_variable","SITE","n_missing","complete_rate","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"1","numeric","sev","AL24",0,1,23.125,4.99515894674292,17,20,22,24.25,35,"▇▇▂▁▂"
"2","numeric","sev","BE24",0,1,3.88125,1.61633546102925,1.5,2.925,3.75,5,7,"▆▇▅▅▅"
"3","numeric","sev","CL22",0,1,8.44117647058824,3.54572877041787,3,6,7.5,10,17,"▅▇▃▃▁"
"4","numeric","sev","KS22",1,0.970588235294118,1.67272727272727,0.91456025200391,0.3,1,1.5,2,5,"▇▇▂▁▁"
"5","numeric","sev","KS23",0,1,9.1875,3.06317882535921,5,6.75,8.5,10.25,17,"▆▆▇▂▂"
"6","numeric","sev","KS24",0,1,9.421875,3.04034530880527,5,7.75,8.25,10.5,17,"▆▇▆▁▃"
"7","numeric","sev","LB23",0,1,7.375,3.84162264103712,3,5,6.5,8,20,"▇▅▂▁▁"
"8","numeric","sev","LB24",0,1,16.28125,5.78225525262,10,12,15,20,30,"▇▃▂▁▂"
"9","numeric","sev","MR22",0,1,3.68235294117647,1.81416490317175,1,2,3.25,5,8,"▇▅▇▁▂"
"10","numeric","sev","OX23",0,1,22.75,4.75869323347519,12,20,24,25.25,30,"▂▃▆▇▆"
"11","numeric","sev","PY22",0,1,3.12647058823529,1.93160458083027,0.3,1.775,2.5,4,8,"▆▇▃▂▂"
"12","numeric","sev","PY23",0,1,9.84375,2.65317065341245,6,8,10,12,16,"▇▆▃▁▁"
"13","numeric","sev","RO24",0,1,4.3375,1.75696769573916,1.9,3.375,4,5,8.7,"▅▇▅▁▂"
"14","numeric","sev","RW22",0,1,5.65882352941177,3.4681335166234,1,2.775,4.5,8,12,"▇▅▃▂▆"
"15","numeric","sev","SB22",0,1,11.3088235294118,4.4517866789168,4.5,8,10,15,20,"▆▇▂▅▅"
"16","numeric","sev","SB23",0,1,26.9375,7.4398122591644,13,20,27,33,40,"▅▆▇▇▆"
"17","numeric","sev","SB24",0,1,15.859375,3.61724002565849,11,12,15,19,23,"▇▆▃▅▃"
"18","numeric","sev","UN23",6,0.8125,11.5384615384615,4.22592729923996,6,8,10,12.75,20,"▇▅▅▂▂"
"19","numeric","raudps","AL24",0,1,8.379375,2.29450386442712,5.78,6.77,7.93,8.9025,14.55,"▇▇▁▁▂"
"20","numeric","raudps","BE24",0,1,1.7184375,0.787040636631729,0.58,1.1125,1.52,2.38,3.48,"▇▆▃▆▂"
"21","numeric","raudps","CL22",0,1,3.94558823529412,1.8185478575392,1.47,2.8025,3.57,4.6475,9.45,"▇▇▃▂▁"
"22","numeric","raudps","KS22",1,0.970588235294118,0.890909090909091,0.599861252897095,0.18,0.53,0.66,0.96,2.97,"▇▅▁▁▁"
"23","numeric","raudps","KS23",0,1,3.5534375,1.3066248304623,1.63,2.655,3.32,4.1675,6.51,"▅▇▅▂▃"
"24","numeric","raudps","KS24",0,1,4.5759375,1.26901755084587,2.3,3.7775,4.315,5.0675,7.68,"▂▇▅▂▁"
"25","numeric","raudps","LB23",0,1,3.39375,1.59656031477351,1.21,2.405,2.825,3.9575,7.63,"▇▇▂▂▁"
"26","numeric","raudps","LB24",0,1,5.920625,2.21096233244347,3.08,4.53,5.485,6.9125,10.92,"▆▇▃▁▂"
"27","numeric","raudps","MR22",0,1,1.685,0.868140646334557,0.41,0.9725,1.545,2.11,3.59,"▇▅▆▂▃"
"28","numeric","raudps","OX23",0,1,8.66,1.97329591652989,4.57,7.005,8.63,10.175,12.23,"▂▇▇▆▅"
"29","numeric","raudps","PY22",0,1,1.64941176470588,1.26624939181886,0.1,0.7725,1.25,1.8425,5.39,"▇▆▂▁▂"
"30","numeric","raudps","PY23",0,1,3.8646875,1.09637521354278,2.42,2.9175,3.65,4.505,6.39,"▇▆▅▂▂"
"31","numeric","raudps","RO24",0,1,2.1278125,0.977078378257376,0.91,1.375,1.945,2.515,4.55,"▇▆▃▁▂"
"32","numeric","raudps","RW22",0,1,2.34058823529412,1.30820937342074,0.54,1.17,2.055,3.55,4.98,"▇▅▅▅▂"
"33","numeric","raudps","SB22",0,1,6.26264705882353,2.18311607823581,2.85,4.865,6.01,8.035,10.79,"▇▇▆▅▃"
"34","numeric","raudps","SB23",0,1,10.79125,3.21130940030949,5.36,8.4425,10.45,13.765,16.96,"▇▇▇▇▃"
"35","numeric","raudps","SB24",0,1,5.3290625,1.42465470491127,3.26,4.0775,5.01,6.0875,9.08,"▆▇▅▂▂"
"36","numeric","raudps","UN23",6,0.8125,3.75807692307692,1.66052044668115,1.98,2.665,3.15,4.6375,7.89,"▇▂▃▁▂"
"37","numeric","omega","AL24",0,1,0.4040625,0.144799291011453,0.17,0.28,0.39,0.5,0.65,"▃▇▃▆▃"
"38","numeric","omega","BE24",0,1,0.2734375,0.164975254742702,0.09,0.16,0.21,0.46,0.53,"▇▆▁▁▆"
"39","numeric","omega","CL22",0,1,0.293235294117647,0.144069019407162,0.09,0.17,0.24,0.41,0.55,"▇▆▂▂▆"
"40","numeric","omega","KS22",1,0.970588235294118,0.249393939393939,0.121345050216814,0.06,0.15,0.31,0.34,0.48,"▇▅▇▇▂"
"41","numeric","omega","KS23",0,1,0.2546875,0.111122843242614,0.11,0.19,0.24,0.2825,0.55,"▅▇▂▁▂"
"42","numeric","omega","KS24",0,1,0.3715625,0.128693418509813,0.17,0.2625,0.34,0.46,0.61,"▆▇▁▅▅"
"43","numeric","omega","LB23",0,1,0.41375,0.159752833282967,0.15,0.25,0.425,0.59,0.59,"▃▃▂▁▇"
"44","numeric","omega","LB24",0,1,0.3915625,0.142943918057668,0.19,0.25,0.45,0.53,0.59,"▇▂▁▅▆"
