"","AL24","BE24","CL22","KS22","KS23","KS24","LB23","LB24","MR22","OX23","PY22","PY23","RO24","RW22","SB22","SB23","SB24","UN23","var"
"fa1...1",24.9,84.4,18.1,3.9,0.2,9.8,0.2,32,56,15.3,77,29.4,63,49.1,0.4,0.4,27.2,29.8,"omega"
"fa2...2",0.7,15.2,1.4,3.7,89.3,7.6,8.6,66.8,33.5,60.6,17.2,4.1,36.9,1.9,3.3,54.2,0.6,60.3,"omega"
"fa3...3",74.4,0.4,80.4,92.4,10.4,6.1,91.3,1.3,10.5,24.2,5.9,26.3,0,49,0,45.4,6.4,9.9,"omega"
"all...4",100,100,100,100,100,23.6,100,100,100,100,100,59.8,100,100,3.7,100,34.2,100,"omega"
"fa1...5",92.2,63.5,23.9,61.4,93.7,62.9,77.9,74.4,44.4,91.9,93.8,65.7,78.6,11.3,50.5,64.3,56.3,76.3,"raudps"
"fa2...6",7.6,0,5.4,28.4,4.5,12.5,0.7,4.6,53.8,0,1.4,2,1.1,39,7.7,5.3,2.3,4.1,"raudps"
"fa3...7",0.2,36.4,21.2,10.2,1.8,0.6,0.4,0.7,1.8,8.1,2.3,7.7,0.5,1.7,9.8,0.3,5.6,19.7,"raudps"
"all...8",100,100,50.5,100,100,76,79,79.8,100,100,97.6,75.3,80.3,52,68,69.9,64.2,100,"raudps"
"fa1...9",43.9,62.1,34.8,79.8,56.3,60.1,43.5,95.4,31.3,60.7,93.1,87.5,91.8,9.7,35.9,24.8,58,58.6,"t50"
"fa2...10",1,37.5,0.4,15.5,23.1,5.5,28,0.3,19.2,16.6,0,8.2,0.5,1.2,9.8,4.4,28.7,36.2,"t50"
"fa3...11",10,0.4,0.3,4.7,20.6,34.4,28.5,1,8.3,22.7,6.9,0,0.4,0.1,0.3,70.8,13.3,5.2,"t50"
"all...12",54.8,100,35.5,100,100,100,100,96.7,58.9,100,100,95.7,92.7,11,45.9,100,100,100,"t50"
"fa1...13",90.6,50.7,10,61.3,85.4,77.3,86.6,77.7,24.8,76.4,88.2,62.4,64.3,2.1,91.6,57.4,65.1,66.2,"sev"
"fa2...14",3.6,0.9,5.1,34.2,9.3,4.7,9.3,4,0.2,0,11.5,27.3,15.3,15.9,8.3,1,12.2,7.2,"sev"
"fa3...15",0.5,48.4,24.8,4.5,5.3,1.1,0,0.1,22.5,23.6,0.3,3.2,0.8,1.4,0.1,0.5,12.5,26.5,"sev"
"all...16",94.7,100,39.9,100,100,83.1,95.9,81.8,47.5,100,100,92.9,80.3,19.4,100,58.9,89.9,100,"sev"
