"","model","aic","loglik","avsed","ExpVar","best_model","var"
"1","mm1",-1482.31548644618,744.157743223089,0.0257836275252435,"-",1,"omega"
"2","mm3",-1478.98610908552,776.49305454276,0.0192777157211196,"-",2,"omega"
"3","mm2",-1478.82492272757,759.412461363783,0.0207685336710943,"-",3,"omega"
"4","mm5",-1473.43403048538,783.717015242688,0.0160614669749041,"44.4",4,"omega"
"5","mm6",-1472.22648146569,795.113240732845,0.0189598833481126,"68.2",5,"omega"
"6","mm7",-1454.93691191319,801.468455956594,0.0190121721168652,"80.6",6,"omega"
"7","mm4",,,,"-",7,"omega"
"8","mm5",1631.0005215392,-764.500260769602,0.540817096926265,"62.9",1,"sev"
"9","mm6",1637.11684582337,-752.558422911686,0.53253004080575,"68.1",2,"sev"
"10","mm7",1639.97702493795,-739.988512468977,0.503404443137065,"77.3",3,"sev"
"11","mm3",1640.84532544315,-783.422662721575,0.565432788715698,"-",4,"sev"
"12","mm2",1736.42635031781,-848.213175158903,0.556720727604129,"-",5,"sev"
"13","mm1",1872.35532894658,-933.177664473289,0.616729496495457,"-",6,"sev"
"14","mm4",,,,"-",7,"sev"
"15","mm3",2781.49478845635,-1353.74739422817,1.5315321403674,"-",1,"t50"
"16","mm6",2782.42413302611,-1327.21206651305,1.37926857756429,"74",2,"t50"
"17","mm7",2787.89669834814,-1316.94834917407,1.37905976875801,"80.5",3,"t50"
"18","mm2",2790.61310495617,-1375.30655247809,1.45723345391257,"-",4,"t50"
"19","mm5",2793.67859330087,-1345.83929665044,1.47494068182153,"60.3",5,"t50"
"20","mm1",2899.23798339977,-1446.61899169988,1.69451865848675,"-",6,"t50"
"21","mm4",,,,"-",7,"t50"
"22","mm6",687.689195906817,-277.844597953408,0.214147397569325,"70.4",1,"raudps"
"23","mm7",688.317174505565,-264.158587252782,0.220814355007202,"79.6",2,"raudps"
"24","mm5",691.877723598816,-293.938861799408,0.222718775720045,"66.1",3,"raudps"
"25","mm3",704.958384277933,-315.479192138966,0.235061306172453,"-",4,"raudps"
"26","mm2",764.699036327549,-362.349518163774,0.225131467163335,"-",5,"raudps"
"27","mm1",890.634354000813,-442.317177000407,0.250022983959396,"-",6,"raudps"
"28","mm4",,,,"-",7,"raudps"
