"","CULT","OP","ST","VAR"
"1","AGS 2024",-0.184275752335652,0.468620569878027,"rAUDPS"
"2","Agrimaxx 492",2.64684142414814,0.438987756377943,"rAUDPS"
"3","Agrimaxx 513",-0.90298911003676,0.454073884823453,"rAUDPS"
"4","CP9606",-0.00407784490762023,0.232072947155246,"rAUDPS"
"5","DG 9070",-0.553675220595432,0.401818603314977,"rAUDPS"
"6","DG 9120",0.185656793813779,0.0868384687944195,"rAUDPS"
"7","DG 9701",0.347806826166356,0.404526446993362,"rAUDPS"
"8","DG Shirley",-0.40378796642033,0.408397604230271,"rAUDPS"
"9","Hilliard",-0.680442771323931,0.128575693643845,"rAUDPS"
"10","Jamestown",2.98901801312108,0.185591240196718,"rAUDPS"
"11","LW2068",-1.08839412262736,0.351740754243251,"rAUDPS"
"12","SH 4400",-0.009896006097827,1.00596831299734,"rAUDPS"
"13","SH 7200",-0.0781133281373161,0.772156745271321,"rAUDPS"
"14","SY 547",-0.909892006453111,0.476264448609019,"rAUDPS"
"15","SY Richie",0.0236138717764114,0.562097031375261,"rAUDPS"
"16","TURBO",0.258456832178867,0.52729833812659,"rAUDPS"
"17","USG 3118",-0.325238805908114,0.321705828441642,"rAUDPS"
"18","USG 3230",-1.31061082633151,0.0948597043237156,"rAUDPS"
"19","AGS 2024",0.138060700578075,0.84144746184485,"SEV"
"20","Agrimaxx 492",5.13944965441975,1.23020818688061,"SEV"
"21","Agrimaxx 513",-1.51640877199551,1.0049499706802,"SEV"
"22","CP9606",0.00896199526224657,1.17985291276895,"SEV"
"23","DG 9070",-0.753197088338922,1.16305174169793,"SEV"
"24","DG 9120",-0.129110029139679,0.174801505191615,"SEV"
"25","DG 9701",1.33723299084763,0.914000266368041,"SEV"
"26","DG Shirley",-0.429469741486877,0.57732880034293,"SEV"
"27","Hilliard",-1.80265963045047,0.442858097907872,"SEV"
"28","Jamestown",6.59256554296871,1.01063150825209,"SEV"
"29","LW2068",-2.26180543405734,1.11118163728227,"SEV"
"30","SH 4400",-1.19068743323077,0.601951455907725,"SEV"
"31","SH 7200",0.353960741802672,2.039720081441,"SEV"
"32","SY 547",-1.68350228723914,0.91632922361783,"SEV"
"33","SY Richie",-0.284171685219768,0.966346265166936,"SEV"
"34","TURBO",0.183213009537253,1.97043049312407,"SEV"
"35","USG 3118",-0.422031050167293,1.0990147901484,"SEV"
"36","USG 3230",-3.28040148389984,0.676125424573971,"SEV"
"37","AGS 2024",0.0168875672385257,0.0671147180493658,"omega"
"38","Agrimaxx 492",0.0260830861642226,0.0600532070762633,"omega"
"39","Agrimaxx 513",-0.0208415942927585,0.0300638190883242,"omega"
"40","CP9606",-0.0300157336927521,0.0380802627168118,"omega"
"41","DG 9070",-0.0332751137972013,0.0242985276865406,"omega"
"42","DG 9120",0.00181374517889547,0.0820390952211622,"omega"
"43","DG 9701",-0.0284728784915158,0.0499467724015343,"omega"
"44","DG Shirley",-0.000426757022431997,0.0107771122034054,"omega"
"45","Hilliard",-0.0245099227436219,0.0142534378018679,"omega"
"46","Jamestown",0.0758786929849054,0.027698799756018,"omega"
"47","LW2068",-0.0176613966952769,0.0427022196649257,"omega"
"48","SH 4400",-0.00520372659586786,0.0503324322583653,"omega"
"49","SH 7200",0.00261399683111478,0.0675875643807029,"omega"
"50","SY 547",-0.0255363040108645,0.0104975407403566,"omega"
"51","SY Richie",0.0350434331744269,0.0213853543473169,"omega"
"52","TURBO",0.035536391009537,0.0202072635367002,"omega"
"53","USG 3118",0.0146157143123613,0.0179607685121451,"omega"
"54","USG 3230",-0.0225291995521386,0.00943183047426326,"omega"
"55","AGS 2024",1.91657384429345,5.81052722702252,"T[50]"
"56","Agrimaxx 492",-8.75985354217115,0.905794320058861,"T[50]"
"57","Agrimaxx 513",3.29614652106598,2.63693908262014,"T[50]"
"58","CP9606",1.36591564964895,1.41243473633065,"T[50]"
"59","DG 9070",2.04093388236633,2.42346529471586,"T[50]"
"60","DG 9120",-8.03762334931594,2.64633485428145,"T[50]"
"61","DG 9701",-3.30421996752598,0.847031109568073,"T[50]"
"62","DG Shirley",2.05701170832874,3.11225533028551,"T[50]"
"63","Hilliard",3.52709904796437,1.02195442894871,"T[50]"
"64","Jamestown",-7.03411303288989,2.12787592711712,"T[50]"
"65","LW2068",3.7494081057319,1.88704224762671,"T[50]"
"66","SH 4400",-0.0470508317435883,2.70034590233469,"T[50]"
"67","SH 7200",1.55412855480034,4.69338585656068,"T[50]"
"68","SY 547",4.25585101579308,2.74367540671375,"T[50]"
"69","SY Richie",-2.3646981108027,2.19682849300159,"T[50]"
"70","TURBO",-2.85592625719155,1.2402173524545,"T[50]"
"71","USG 3118",1.91611066439773,3.76794415117649,"T[50]"
"72","USG 3230",6.72430609744958,2.2509190973324,"T[50]"
